hour_of_day,day_of_week,is_weekend,month,avg_true,avg_pred,hotspot_rate,n_rows
10.0,4.0,0.0,9.0,1056.8823529411766,1097.9045800493163,0.35294117647058826,17
14.0,4.0,0.0,9.0,1164.4705882352941,1162.5030890625646,0.35294117647058826,17
11.0,5.0,0.0,9.0,1285.8333333333333,1361.3327729854757,0.5,6
7.0,6.0,0.0,9.0,1714.111111111111,1694.435906875866,0.3333333333333333,9
8.0,6.0,0.0,9.0,1570.0,1593.5653841380413,0.3333333333333333,9
13.0,6.0,0.0,9.0,1568.5555555555557,1616.2106730741164,0.3333333333333333,9
17.0,6.0,0.0,9.0,1864.3333333333333,1917.2433078442364,0.3333333333333333,9
18.0,6.0,0.0,9.0,2052.5,1906.1870525758632,0.75,4
8.0,3.0,0.0,9.0,2060.5,1976.6514069138423,0.375,8
10.0,3.0,0.0,9.0,1860.75,1804.669585743836,0.375,8
12.0,3.0,0.0,9.0,2010.5,1865.1175890099219,0.375,8
14.0,3.0,0.0,9.0,2140.25,2007.376795931075,0.375,8
9.0,2.0,0.0,9.0,574.5,473.4117875062637,0.5,2
16.0,2.0,0.0,9.0,607.5,631.6420083795292,0.5,2
10.0,4.0,0.0,10.0,723.6,722.8658632508099,0.3,10
13.0,5.0,0.0,10.0,964.75,901.1140726177262,0.75,4
11.0,3.0,0.0,11.0,611.0,477.845544829792,0.25,4
14.0,3.0,0.0,11.0,571.25,571.2532544812393,0.25,4
9.0,4.0,0.0,11.0,715.0,508.52445107883887,0.5,2
17.0,4.0,0.0,11.0,681.0,751.2421359239224,0.5,2
7.0,4.0,0.0,9.0,1249.3529411764705,1195.538973496679,0.35294117647058826,17
8.0,4.0,0.0,9.0,1164.2941176470588,1164.0985914230328,0.35294117647058826,17
9.0,4.0,0.0,9.0,1144.235294117647,1111.8683901028617,0.35294117647058826,17
11.0,4.0,0.0,9.0,1134.3529411764705,1080.0987793779616,0.35294117647058826,17
13.0,4.0,0.0,9.0,1164.3529411764705,1155.3615818642331,0.35294117647058826,17
18.0,4.0,0.0,9.0,1155.75,1186.4196416785344,0.5,8
7.0,5.0,0.0,9.0,1427.8333333333333,1372.0918261979803,0.5,6
9.0,5.0,0.0,9.0,1436.8333333333333,1312.9857300108617,0.5,6
17.0,5.0,0.0,9.0,1445.6666666666667,1381.7042647744765,0.5,6
18.0,5.0,0.0,9.0,951.3333333333334,1377.6449607985467,1.0,3
10.0,6.0,0.0,9.0,1570.6666666666667,1393.6124751752056,0.3333333333333333,9
