step,src,dst,length_km,weight_km,hotspot_rate,is_hotspot,penalty_km,pair_id,route
1,A407,A5,2.1,2.1,0.0,0,0.0,2,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,2,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,2,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,2,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,2,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,2,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,3,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,3,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,3,shortest_distance
4,LA Boundary,4,2.622727272727273,2.622727272727273,0.0,0,0.0,3,shortest_distance
5,4,3,2.9,2.9,0.0,0,0.0,3,shortest_distance
6,3,2,8.4,8.4,0.0,0,0.0,3,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,3,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,3,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,3,avoid_hotspots
4,LA Boundary,4,2.622727272727273,2.622727272727273,0.0,0,0.0,3,avoid_hotspots
5,4,3,2.9,2.9,0.0,0,0.0,3,avoid_hotspots
6,3,2,8.4,8.4,0.0,0,0.0,3,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,4,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,4,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,4,shortest_distance
4,LA Boundary,4,2.622727272727273,2.622727272727273,0.0,0,0.0,4,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,4,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,4,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,4,avoid_hotspots
4,LA Boundary,4,2.622727272727273,2.622727272727273,0.0,0,0.0,4,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,6,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,6,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,6,shortest_distance
4,LA Boundary,4,2.622727272727273,2.622727272727273,0.0,0,0.0,6,shortest_distance
5,4,3,2.9,2.9,0.0,0,0.0,6,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,6,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,6,avoid_hotspots
3,A504,LA Boundary,0.8,0.8,0.0,0,0.0,6,avoid_hotspots
4,LA Boundary,4,2.622727272727273,2.622727272727273,0.0,0,0.0,6,avoid_hotspots
5,4,3,2.9,2.9,0.0,0,0.0,6,avoid_hotspots
1,A407,A5,2.1,2.1,0.0,0,0.0,7,shortest_distance
2,A5,A41,0.4,0.4,0.0,0,0.0,7,shortest_distance
3,A41,LA Boundary,1.5,3.065217391304348,0.5217391304347826,1,1.5652173913043481,7,shortest_distance
4,LA Boundary,A4,1.3,1.3,0.0,0,0.0,7,shortest_distance
1,A407,A406,2.1,2.1,0.0,0,0.0,7,avoid_hotspots
2,A406,A504,1.3652173913043475,1.3652173913043475,0.0,0,0.0,7,avoid_hotspots
