route,seq,src,dst,length_km,hotspot_rate,weight_km,penalty_km,from_node,to_node
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,2
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,2
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,2
shortest_distance,4,LA Boundary,4,2.622727272727273,0.0,2.622727272727273,0.0,A407,2
shortest_distance,5,4,3,2.9,0.0,2.9,0.0,A407,2
shortest_distance,6,3,2,8.4,0.0,8.4,0.0,A407,2
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,2
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,2
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,2
avoid_hotspots,4,LA Boundary,4,2.622727272727273,0.0,2.622727272727273,0.0,A407,2
avoid_hotspots,5,4,3,2.9,0.0,2.9,0.0,A407,2
avoid_hotspots,6,3,2,8.4,0.0,8.4,0.0,A407,2
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,29
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,29
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,29
shortest_distance,4,LA Boundary,29,4.6,0.0,4.6,0.0,A407,29
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,29
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,29
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,29
avoid_hotspots,4,LA Boundary,29,4.6,0.0,4.6,0.0,A407,29
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,3
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,3
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,3
shortest_distance,4,LA Boundary,4,2.622727272727273,0.0,2.622727272727273,0.0,A407,3
shortest_distance,5,4,3,2.9,0.0,2.9,0.0,A407,3
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,3
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,3
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,3
avoid_hotspots,4,LA Boundary,4,2.622727272727273,0.0,2.622727272727273,0.0,A407,3
avoid_hotspots,5,4,3,2.9,0.0,2.9,0.0,A407,3
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,4
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,4
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,4
shortest_distance,4,LA Boundary,4,2.622727272727273,0.0,2.622727272727273,0.0,A407,4
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,4
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,4
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,4
avoid_hotspots,4,LA Boundary,4,2.622727272727273,0.0,2.622727272727273,0.0,A407,4
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A1
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A1
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A1
shortest_distance,4,LA Boundary,A201,0.2,0.6086956521739131,0.44347826086956527,0.24347826086956526,A407,A1
shortest_distance,5,A201,A1,0.7285714285714285,0.0,0.7285714285714285,0.0,A407,A1
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A1
avoid_hotspots,4,LA Boundary,A201,0.2,0.6086956521739131,0.44347826086956527,0.24347826086956526,A407,A1
avoid_hotspots,5,A201,A1,0.7285714285714285,0.0,0.7285714285714285,0.0,A407,A1
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A10
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A10
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A10
shortest_distance,4,LA Boundary,A10,1.3,0.0,1.3,0.0,A407,A10
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A10
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A10
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A10
avoid_hotspots,4,LA Boundary,A10,1.3,0.0,1.3,0.0,A407,A10
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A10(T)
shortest_distance,2,A406,A105,2.3,0.0,2.3,0.0,A407,A10(T)
shortest_distance,3,A105,A10(T),1.7,0.0,1.7,0.0,A407,A10(T)
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A10(T)
avoid_hotspots,2,A406,A105,2.3,0.0,2.3,0.0,A407,A10(T)
avoid_hotspots,3,A105,A10(T),1.7,0.0,1.7,0.0,A407,A10(T)
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A10/A1208
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A10/A1208
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A10/A1208
shortest_distance,4,LA Boundary,A40,0.3,0.0,0.3,0.0,A407,A10/A1208
shortest_distance,5,A40,A5204,0.5,0.0,0.5,0.0,A407,A10/A1208
shortest_distance,6,A5204,A501,0.74,0.0,0.74,0.0,A407,A10/A1208
shortest_distance,7,A501,A1202,0.1999999999999999,0.0,0.1999999999999999,0.0,A407,A10/A1208
shortest_distance,8,A1202,A10/A1208,0.2,0.0,0.2,0.0,A407,A10/A1208
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A10/A1208
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A10/A1208
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A10/A1208
avoid_hotspots,4,LA Boundary,A40,0.3,0.0,0.3,0.0,A407,A10/A1208
avoid_hotspots,5,A40,A5204,0.5,0.0,0.5,0.0,A407,A10/A1208
avoid_hotspots,6,A5204,A501,0.74,0.0,0.74,0.0,A407,A10/A1208
avoid_hotspots,7,A501,A1202,0.1999999999999999,0.0,0.1999999999999999,0.0,A407,A10/A1208
avoid_hotspots,8,A1202,A10/A1208,0.2,0.0,0.2,0.0,A407,A10/A1208
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1000
shortest_distance,2,A406,A1000,1.7,0.0,1.7,0.0,A407,A1000
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1000
avoid_hotspots,2,A406,A1000,1.7,0.0,1.7,0.0,A407,A1000
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A1000 Cherry Tree Hill
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A1000 Cherry Tree Hill
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A1000 Cherry Tree Hill
shortest_distance,4,LA Boundary,A1000 Cherry Tree Hill,1.8,0.0,1.8,0.0,A407,A1000 Cherry Tree Hill
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1000 Cherry Tree Hill
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1000 Cherry Tree Hill
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A1000 Cherry Tree Hill
avoid_hotspots,4,LA Boundary,A1000 Cherry Tree Hill,1.8,0.0,1.8,0.0,A407,A1000 Cherry Tree Hill
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1003
shortest_distance,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1003
shortest_distance,3,A504,A5000,0.5,0.0,0.5,0.0,A407,A1003
shortest_distance,4,A5000,A1003,1.8,0.0,1.8,0.0,A407,A1003
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1003
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1003
avoid_hotspots,3,A504,A5000,0.5,0.0,0.5,0.0,A407,A1003
avoid_hotspots,4,A5000,A1003,1.8,0.0,1.8,0.0,A407,A1003
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1004
shortest_distance,2,A406,A105,2.3,0.0,2.3,0.0,A407,A1004
shortest_distance,3,A105,A1004,1.9,0.0,1.9,0.0,A407,A1004
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1004
avoid_hotspots,2,A406,A105,2.3,0.0,2.3,0.0,A407,A1004
avoid_hotspots,3,A105,A1004,1.9,0.0,1.9,0.0,A407,A1004
shortest_distance,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1006/A112 triangle
shortest_distance,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A1006/A112 triangle
shortest_distance,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A1006/A112 triangle
shortest_distance,4,A112,A104,2.06,0.5217391304347826,4.2095652173913045,2.1495652173913045,A407,A1006/A112 triangle
shortest_distance,5,A104,A1006/A112 triangle,1.6,0.0,1.6,0.0,A407,A1006/A112 triangle
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1006/A112 triangle
avoid_hotspots,2,A406,A1037,0.725,0.0,0.725,0.0,A407,A1006/A112 triangle
avoid_hotspots,3,A1037,A112,0.7,0.0,0.7,0.0,A407,A1006/A112 triangle
avoid_hotspots,4,A112,A104,2.06,0.5217391304347826,4.2095652173913045,2.1495652173913045,A407,A1006/A112 triangle
avoid_hotspots,5,A104,A1006/A112 triangle,1.6,0.0,1.6,0.0,A407,A1006/A112 triangle
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A1008
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A1008
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A1008
shortest_distance,4,LA Boundary,A1008,0.7,0.0,0.7,0.0,A407,A1008
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1008
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1008
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A1008
avoid_hotspots,4,LA Boundary,A1008,0.7,0.0,0.7,0.0,A407,A1008
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A101/A126
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A101/A126
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A101/A126
shortest_distance,4,LA Boundary,A40,0.3,0.0,0.3,0.0,A407,A101/A126
shortest_distance,5,A40,A5204,0.5,0.0,0.5,0.0,A407,A101/A126
shortest_distance,6,A5204,A501,0.74,0.0,0.74,0.0,A407,A101/A126
shortest_distance,7,A501,A1202,0.1999999999999999,0.0,0.1999999999999999,0.0,A407,A101/A126
shortest_distance,8,A1202,A101/A126,1.9,0.0,1.9,0.0,A407,A101/A126
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A101/A126
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A101/A126
avoid_hotspots,3,A504,LA Boundary,0.8,0.0,0.8,0.0,A407,A101/A126
avoid_hotspots,4,LA Boundary,A40,0.3,0.0,0.3,0.0,A407,A101/A126
avoid_hotspots,5,A40,A5204,0.5,0.0,0.5,0.0,A407,A101/A126
avoid_hotspots,6,A5204,A501,0.74,0.0,0.74,0.0,A407,A101/A126
avoid_hotspots,7,A501,A1202,0.1999999999999999,0.0,0.1999999999999999,0.0,A407,A101/A126
avoid_hotspots,8,A1202,A101/A126,1.9,0.0,1.9,0.0,A407,A101/A126
shortest_distance,1,A407,A5,2.1,0.0,2.1,0.0,A407,A1010
shortest_distance,2,A5,A41,0.4,0.0,0.4,0.0,A407,A1010
shortest_distance,3,A41,LA Boundary,1.5,0.5217391304347826,3.065217391304348,1.5652173913043481,A407,A1010
shortest_distance,4,LA Boundary,A10,1.3,0.0,1.3,0.0,A407,A1010
shortest_distance,5,A10,A1010,0.9375,0.0,0.9375,0.0,A407,A1010
avoid_hotspots,1,A407,A406,2.1,0.0,2.1,0.0,A407,A1010
avoid_hotspots,2,A406,A504,1.3652173913043475,0.0,1.3652173913043475,0.0,A407,A1010
