route,edges,total_length_km,total_weight_km,hotspot_edges,hotspot_edge_share,avg_hotspot_rate,max_hotspot_rate,from_node,to_node,same_path
shortest_distance,6,17.922727272727272,19.487944664031623,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,2,False
avoid_hotspots,6,18.18794466403162,18.18794466403162,0,0.0,0.0,0.0,A407,2,False
shortest_distance,4,8.6,10.165217391304347,1,0.25,0.13043478260869565,0.5217391304347826,A407,29,False
avoid_hotspots,4,8.865217391304348,8.865217391304348,0,0.0,0.0,0.0,A407,29,False
shortest_distance,5,9.522727272727273,11.087944664031621,1,0.2,0.10434782608695652,0.5217391304347826,A407,3,False
avoid_hotspots,5,9.78794466403162,9.78794466403162,0,0.0,0.0,0.0,A407,3,False
shortest_distance,4,6.622727272727273,8.18794466403162,1,0.25,0.13043478260869565,0.5217391304347826,A407,4,False
avoid_hotspots,4,6.887944664031621,6.887944664031621,0,0.0,0.0,0.0,A407,4,False
shortest_distance,5,4.928571428571429,6.737267080745341,2,0.4,0.22608695652173916,0.6086956521739131,A407,A1,False
avoid_hotspots,5,5.193788819875777,5.437267080745341,1,0.2,0.12173913043478261,0.6086956521739131,A407,A1,False
shortest_distance,4,5.3,6.8652173913043475,1,0.25,0.13043478260869565,0.5217391304347826,A407,A10,False
avoid_hotspots,4,5.565217391304348,5.565217391304348,0,0.0,0.0,0.0,A407,A10,False
shortest_distance,3,6.1000000000000005,6.1000000000000005,0,0.0,0.0,0.0,A407,A10(T),True
avoid_hotspots,3,6.1000000000000005,6.1000000000000005,0,0.0,0.0,0.0,A407,A10(T),True
shortest_distance,8,5.9399999999999995,7.505217391304348,1,0.125,0.06521739130434782,0.5217391304347826,A407,A10/A1208,False
avoid_hotspots,8,6.205217391304347,6.205217391304347,0,0.0,0.0,0.0,A407,A10/A1208,False
shortest_distance,2,3.8,3.8,0,0.0,0.0,0.0,A407,A1000,True
avoid_hotspots,2,3.8,3.8,0,0.0,0.0,0.0,A407,A1000,True
shortest_distance,4,5.8,7.3652173913043475,1,0.25,0.13043478260869565,0.5217391304347826,A407,A1000 Cherry Tree Hill,False
avoid_hotspots,4,6.065217391304348,6.065217391304348,0,0.0,0.0,0.0,A407,A1000 Cherry Tree Hill,False
shortest_distance,4,5.765217391304348,5.765217391304348,0,0.0,0.0,0.0,A407,A1003,True
avoid_hotspots,4,5.765217391304348,5.765217391304348,0,0.0,0.0,0.0,A407,A1003,True
shortest_distance,3,6.300000000000001,6.300000000000001,0,0.0,0.0,0.0,A407,A1004,True
avoid_hotspots,3,6.300000000000001,6.300000000000001,0,0.0,0.0,0.0,A407,A1004,True
shortest_distance,5,7.1850000000000005,9.334565217391305,1,0.2,0.10434782608695652,0.5217391304347826,A407,A1006/A112 triangle,True
avoid_hotspots,5,7.1850000000000005,9.334565217391305,1,0.2,0.10434782608695652,0.5217391304347826,A407,A1006/A112 triangle,True
shortest_distance,4,4.7,6.265217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A1008,False
avoid_hotspots,4,4.965217391304348,4.965217391304348,0,0.0,0.0,0.0,A407,A1008,False
shortest_distance,8,7.64,9.205217391304348,1,0.125,0.06521739130434782,0.5217391304347826,A407,A101/A126,False
avoid_hotspots,8,7.9052173913043475,7.9052173913043475,0,0.0,0.0,0.0,A407,A101/A126,False
shortest_distance,5,6.2375,7.8027173913043475,1,0.2,0.10434782608695652,0.5217391304347826,A407,A1010,False
avoid_hotspots,5,6.502717391304348,6.502717391304348,0,0.0,0.0,0.0,A407,A1010,False
shortest_distance,5,6.325,6.325,0,0.0,0.0,0.0,A407,A1011,True
avoid_hotspots,5,6.325,6.325,0,0.0,0.0,0.0,A407,A1011,True
shortest_distance,6,6.1850000000000005,8.334565217391306,1,0.16666666666666666,0.08695652173913043,0.5217391304347826,A407,A102,False
avoid_hotspots,9,7.7818840579710145,7.7818840579710145,0,0.0,0.0,0.0,A407,A102,False
shortest_distance,4,4.4,5.965217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A103,False
avoid_hotspots,4,4.665217391304348,4.665217391304348,0,0.0,0.0,0.0,A407,A103,False
shortest_distance,2,2.825,2.825,0,0.0,0.0,0.0,A407,A1037,True
avoid_hotspots,2,2.825,2.825,0,0.0,0.0,0.0,A407,A1037,True
shortest_distance,4,5.585000000000001,7.734565217391305,1,0.25,0.13043478260869565,0.5217391304347826,A407,A104,True
avoid_hotspots,4,5.585000000000001,7.734565217391305,1,0.25,0.13043478260869565,0.5217391304347826,A407,A104,True
shortest_distance,2,4.4,4.4,0,0.0,0.0,0.0,A407,A105,True
avoid_hotspots,2,4.4,4.4,0,0.0,0.0,0.0,A407,A105,True
shortest_distance,4,5.6,7.165217391304347,1,0.25,0.13043478260869565,0.5217391304347826,A407,A1055,False
avoid_hotspots,4,5.865217391304348,5.865217391304348,0,0.0,0.0,0.0,A407,A1055,False
shortest_distance,4,4.7,6.265217391304348,1,0.25,0.13043478260869565,0.5217391304347826,A407,A1055 Conduit Lane,False
avoid_hotspots,4,4.965217391304348,4.965217391304348,0,0.0,0.0,0.0,A407,A1055 Conduit Lane,False
shortest_distance,4,6.1,7.665217391304347,1,0.25,0.13043478260869565,0.5217391304347826,A407,A106,False
avoid_hotspots,4,6.365217391304348,6.365217391304348,0,0.0,0.0,0.0,A407,A106,False
shortest_distance,4,3.9250000000000003,3.9250000000000003,0,0.0,0.0,0.0,A407,A106 Grove Green Rd,True
