src,dst,length_km,n_rows,hotspot_rate,weight_km,penalty_km
14,LA Boundary,3.0,1152,0.0,3.0,0.0
2,4,6.8,1080,0.0,6.8,0.0
25,LA Boundary,8.5,1368,0.0,8.5,0.0
3,2,8.4,1080,0.0,8.4,0.0
4,3,2.9,1512,0.0,2.9,0.0
4,A4,1.6111111111111112,648,0.0,1.6111111111111112,0.0
4,A408,0.2,432,0.0,0.2,0.0
A1,A103,0.4,180,0.0,0.4,0.0
A1,A1200,0.8,216,0.0,0.8,0.0
A1,A410,2.4153846153846152,936,0.0,2.4153846153846152,0.0
A1,A5000,1.2,360,0.0,1.2,0.0
A1,A504,1.0,1152,0.0,1.0,0.0
A1/A5203,A103,0.3,180,0.0,0.3,0.0
A10,A1010,0.9375,576,0.0,0.9375,0.0
A10,A109,0.5,216,0.0,0.5,0.0
A10,A1202 Curtain Rd,0.3,324,0.0,0.3,0.0
A10 Rectory Rd,A107 Clapton Common,1.1,432,0.0,1.1,0.0
A10/A5201,A107,1.7,144,0.0,1.7,0.0
A100,Druid St,0.2,216,0.0,0.2,0.0
A100,LA Boundary,0.3,648,0.0,0.3,0.0
A100/A1210/A1211,Dock Street,0.4,180,0.0,0.4,0.0
A100/A2205,A2208,2.2,216,0.0,2.2,0.0
A100/A2206,A2198,0.2,288,0.0,0.2,0.0
A1003,A406(T),0.8,216,0.0,0.8,0.0
A1003,LA Boundary,2.4,576,0.0,2.4,0.0
A1004,A111,0.8,216,0.0,0.8,0.0
A1006,A112,1.7,288,0.0,1.7,0.0
A1009,A112,1.7,1440,1.0,5.1,3.3999999999999995
A1009  NEW  ROAD,A1037,1.925,288,0.0,1.925,0.0
A1009 Chingford Lane,A1009 Broadmead RD,0.2,360,0.0,0.2,0.0
A101,A1261,0.8,432,0.0,0.8,0.0
A101,A2208,0.8,432,0.0,0.8,0.0
A1010,A10,1.0,360,0.0,1.0,0.0
A1010,A109,0.6,144,0.0,0.6,0.0
A1011,A114,1.1,288,0.5652173913043478,2.3434782608695652,1.2434782608695651
A102/A2,A205,2.2,504,0.0,2.2,0.0
A1020,A13,1.7,144,0.0,1.7,0.0
A103,A105,0.7333333333333334,216,0.0,0.7333333333333334,0.0
